"","Name","rack_count","longitude","latitude","address"
"1","kml_1",12,"103.817334142586","1.28935742467591","126 Tiong Bahru Rd, Singapore 168732"
"2","kml_2",56,"103.953243015596","1.3435942331395","30 Simei Street 3, Singapore 529888"
"3","kml_3",19,"103.952923995988","1.3437480471865","30 Simei Street 3, Singapore 529888"
"4","kml_4",22,"103.952921315103","1.34374804731857","30 Simei Street 3, Singapore 529888"
"5","kml_5",46,"103.952982065968","1.34341526441951","30 Simei Street 3, Singapore 529888"
"6","kml_6",74,"103.953341283833","1.34295115362209","3 Simei Street 6, Singapore 528833"
"7","kml_7",100,"103.948978186464","1.37248021634387","Pasir Ris Dr 1, Pasir Ris, Singapore"
"8","kml_8",124,"103.94906936764","1.37224201958404","Pasir Ris Dr 1, Pasir Ris, Singapore"
"9","kml_9",150,"103.949421931655","1.37360127333946","10 Pasir Ris Central, Singapore 519634"
"10","kml_10",124,"103.949279839419","1.37354281894416","10 Pasir Ris Central, Singapore 519634"
"11","kml_11",408,"103.948970139549","1.37185618550805","Pasir Ris Dr 1, Pasir Ris, Singapore"
"12","kml_12",135,"103.945685985767","1.35290861165574","TAMPINES MALL, 4 Tampines Central 5, Singapore 529510, Singapore 529510"
"13","kml_13",73,"103.94545363128","1.35271390125937","TAMPINES MALL, 4 Tampines Central 5, Singapore 529510, Singapore 529510"
"14","kml_14",226,"103.945338356282","1.35280429682124","4 Tampines Central 5, Singapore 529510"
"15","kml_15",118,"103.944791058026","1.35399423544075","30 Tampines Central 1, Singapore 529536"
"16","kml_16",25,"103.944744587519","1.35396410752093","30 Tampines Central 1, Singapore 529536"
"17","kml_17",92,"103.944588636556","1.35371677823679","20 Tampines Central 1, Singapore 529538"
"18","kml_18",364,"103.945917410468","1.35231724187075","158 Tampines Street 12, Block 158, Singapore 521158"
"19","kml_19",180,"103.882307587058","1.3161964939219","Aljunied, Singapore 388310"
"20","kml_20",148,"103.882892024925","1.3165598426919","81 Lor 25 Geylang, Singapore 388310"
"21","kml_21",164,"103.882907211307","1.31629361794501","Aljunied, Singapore 388310"
"22","kml_22",42,"103.87103644645","1.31143140708036","5 Sims Ave, Singapore 387405"
"23","kml_23",25,"103.871064149032","1.31144579717356","5 Sims Ave, Singapore 387405"
"24","kml_24",41,"103.871765650351","1.31190088644153","27 Lor 1 Geylang, Singapore 382008"
"25","kml_25",200,"103.871188136319","1.31125174817169","Kallang MRT, 5 Sims Ave, Singapore 387405"
"26","kml_26",20,"103.863283770723","1.3075883452586","50 Kallang Rd, Lavender Stn Exit A/ICA, Singapore 208699"
"27","kml_27",74,"103.862833833988","1.30776283564351","8 Horne Rd, Singapore 209060"
"28","kml_28",20,"103.856353668363","1.30069805917785","750 Victoria St, Singapore 188062"
"29","kml_29",51,"103.855599456484","1.30105872832313","191 Rochor Rd, Singapore"
"30","kml_30",80,"103.856686077746","1.29882728877269","34 Tan Quee Lan St, Singapore 188118"
"31","kml_31",48,"103.678818745563","1.32795816425018","Joo Koon, Singapore"
"32","kml_32",20,"103.678742707387","1.32752258802525","Joo Koon, Singapore"
"33","kml_33",80,"103.678257574163","1.32754305396058","Joo Koon Stn Exit A, Singapore"
"34","kml_34",48,"103.893717886818","1.31829523282847","30 Paya Lebar Rd, Singapore 409006"
"35","kml_35",35,"103.893779541566","1.31807037961164","30 Paya Lebar Rd, Singapore 409006"
"36","kml_36",34,"103.888295144544","1.30812036852872","201 Old Airport Rd, Dakota, Singapore 397973"
"37","kml_37",48,"103.889333550269","1.30888574077274","201 Old Airport Rd, Dakota, Singapore 397973"
