"","Name","clinic_names","postalcode","longitude","latitude","address"
"1","kml_1","CHEN FAMILY CLINIC","550153","103.872312298307","1.36995099695439","SERANGOON NORTH AVE 1, 550153"
"2","kml_2","CHENG CLINIC","560447","103.855967138976","1.36747901395741","ANG MO KIO AVE 10, 560447"
"3","kml_3","CHEONG FAMILY CLINIC PTE LTD","210045","103.850825476113","1.31559567557441","OWEN RD, 210045"
"4","kml_4","CHEONG MEDICAL CLINIC","598589","103.77332960556","1.34054866770426","JLN JURONG KECHIL, 598589"
"5","kml_5","CHERN MEDICAL CLINIC","521138","103.945588355489","1.34550450587014","TAMPINES ST 11, 521138"
"6","kml_6","CHESTMED pte ltd","228510","103.83543933754","1.30516521414744","Mount Elizabeth, 228510"
"7","kml_7","CHIA & LEE MEDICAL & DENTAL CLINIC","520802","103.93803402297","1.34608442387087","TAMPINES AVE 4, 520802"
"8","kml_8","CHIA CLINIC AND SURGERY","209264","103.859968796046","1.31270180835768","FOCH ROAD, 209264"
"9","kml_9","CHIEW CLINIC","548008","103.88499280169","1.36197602911345","KOVAN ROAD, 548008"
"10","kml_10","CHIN CHOO CLINIC","370035","103.886010316195","1.32915899651205","CIRCUIT ROAD, 370035"
"11","kml_11","CHIN LEONG CLINIC","120517","103.7601572777","1.30747684403086","WEST COAST ROAD, 120517"
"12","kml_12","CHINATOWN WELLNESS CLINIC","050531","103.846101472114","1.28439238197795","UPPER CROSS STREET, 050531"
"13","kml_13","CHIRON MEDICAL CLINIC","320003","103.861107276896","1.32258735163112","ST. GEORGE'S ROAD, 320003"
"14","kml_14","CHNG CLINIC AND SURGERY","310178","103.849264521174","1.33358025833851","TOA PAYOH CENTRAL, 310178"
"15","kml_15","CHONG & LIM FAMILY CLINIC","670103","103.768538441068","1.37867070866309","GANGSA ROAD, 670103"
"16","kml_16","CHONG MEDICAL CLINIC","470703","103.91989305506","1.33716507465033","BEDOK RESERVOIR ROAD, 470703"
