"","Name","Location","longitude","latitude","Description","More Info","Length.of.PC","Opening.Hours","Lighting.Hours","Accessibility"
"1","Marsiling Park Connector","Woodlands Centre Road Near Woodlands Town Garden","103.7712","1.437081","The Marsiling Park Connector runs along Woodlands Centre, linking Woodlands Waterfront to Woodlands Town Garden.","Marsiling Park Connector starts at Woodlands Centre Point and runs along Marsiling Lane before ending at Admiralty Road West.","1.3 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"2","Marsiling Park Connector","Woodlands Centre Road Near Mjd An-nur","103.7711","1.441247","The Marsiling Park Connector runs along Woodlands Centre, linking Woodlands Waterfront to Woodlands Town Garden.","Marsiling Park Connector starts at Woodlands Centre Point and runs along Marsiling Lane before ending at Admiralty Road West.","1.3 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"3","Marsiling Park Connector","Woodlands Centre Road Near Old Woodlands Checkpoint","103.7711","1.442590","The Marsiling Park Connector runs along Woodlands Centre, linking Woodlands Waterfront to Woodlands Town Garden.","Marsiling Park Connector starts at Woodlands Centre Point and runs along Marsiling Lane before ending at Admiralty Road West.","1.3 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"4","Woodlands Park Connector","Woodlands Lane","103.8087","1.438651","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"5","Woodlands Park Connector","Woodlands St 13 Near Marsiling Sec School","103.7759","1.434447","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"6","Woodlands Park Connector","Woodlands St 13 Near Woodlands Stadium","103.7809","1.435797","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"7","Woodlands Park Connector","Woodlands St 13 Near Woodlands Sports Centre","103.7821","1.434597","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"8","Ang Mo Kio Avenue 5 Park Connector","Yio Chu Kang Road","103.8764","1.379153","Ang Mo Kio Ave 5 Park Connector starts at the junction of Ang Mo Kio Ave 5 and Ang Mo Kio Ave 6, and ends at Yio Chu Kang Road. It stretches along Ang Mo Kio Ave 5 passing through various educational institutions such as Anderson Junior College, Nanyang Polytechnic and Ang Mo Kio ITE College. Through this park connector, you are linked to Buangkok estate and further northeast towards Punggol Park, Punggol Waterway Park and Punggol Point Park, located along the scenic North Eastern Riverine Loop.","Ang Mo Kio Ave 5 Park Connector starts at cross junction of Ang Mo Kio Ave 6 and Ang Mo Kio Ave 5 and runs along Ang Mo Kio Ave 5 before ending at Yio Chu Kang Road","4.01 km","24 hours daily","7.00pm to 7.00am","Wheelchair accessible"
"9","Mandai Park Connector","Yishun Ave Near Lentor Ave","103.8292","1.409926","Running alongside the beautiful Central Catchment Nature Reserve, the 5-kilometre-long Mandai Connector links the Ulu Sembawang Park Connector to the Khatib Bongsu Park Connector. It also joins one of Singapore’s five gazetted Heritage Roads, Mandai Road, (starting opposite Upper Seletar Reservoir Park Carpark and ending at the junction of Mandai Avenue).","Mandai Park Connector starts at Lentor Ave and runs along Yishun Ave 1/Mandai Ave/ Mandai Road before ending at Junction of Mandai Lake Road","5.0 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
"10","Mandai Park Connector","Yishun Ave Near Sembawang Golf Course","103.8226","1.413407","Running alongside the beautiful Central Catchment Nature Reserve, the 5-kilometre-long Mandai Connector links the Ulu Sembawang Park Connector to the Khatib Bongsu Park Connector. It also joins one of Singapore’s five gazetted Heritage Roads, Mandai Road, (starting opposite Upper Seletar Reservoir Park Carpark and ending at the junction of Mandai Avenue).","Mandai Park Connector starts at Lentor Ave and runs along Yishun Ave 1/Mandai Ave/ Mandai Road before ending at Junction of Mandai Lake Road","5.0 km","24 hours daily","7.00pm to 7.00am","Wheelchair friendly"
