"","Name","Description","Location","Length of PC","Opening Hours","Lighting Hours","Accessibility"
"1","Marsiling Park Connector","The Marsiling Park Connector runs along Woodlands Centre, linking Woodlands Waterfront to Woodlands Town Garden.","Marsiling Park Connector starts at Woodlands Centre Point and runs along Marsiling Lane before ending at Admiralty Road West.","1.3 km","24 hours daily","7.00pm – 7.00am","Wheelchair friendly"
"2","Woodlands Park Connector","Running along the side of the SLE, the Woodlands (SLE) Park Connector links the Woodlands (Ave 2) Park Connector to the Ulu Sembawang Park Connector. With “green-roof” shelters and drinking fountains placed along the park connector, visitors can take a breather and enjoy the beauty of the nearby nature reserve.","Woodlands (SLE) Park Connector starts at the end of Woodlands Ave 2 and runs along the side of SLE before ending at the start of Woodlands Ave 12 from SLE","1.1 km","24 hours daily","7.00pm – 7.00am","Wheelchair friendly"
"3","Ang Mo Kio Avenue 5 Park Connector","Ang Mo Kio Ave 5 Park Connector starts at the junction of Ang Mo Kio Ave 5 and Ang Mo Kio Ave 6, and ends at Yio Chu Kang Road. It stretches along Ang Mo Kio Ave 5 passing through various educational institutions such as Anderson Junior College, Nanyang Polytechnic and Ang Mo Kio ITE College. Through this park connector, you are linked to Buangkok estate and further northeast towards Punggol Park, Punggol Waterway Park and Punggol Point Park, located along the scenic North Eastern Riverine Loop.","Ang Mo Kio Ave 5 Park Connector starts at cross junction of Ang Mo Kio Ave 6 and Ang Mo Kio Ave 5 and runs along Ang Mo Kio Ave 5 before ending at Yio Chu Kang Road","4.01 km","24 hours daily","7.00pm – 7.00am","Wheelchair accessible"
"4","Mandai Park Connector","Running alongside the beautiful Central Catchment Nature Reserve, the 5-kilometre-long Mandai Connector links the Ulu Sembawang Park Connector to the Khatib Bongsu Park Connector. It also joins one of Singapore’s five gazetted Heritage Roads, Mandai Road, (starting opposite Upper Seletar Reservoir Park Carpark and ending at the junction of Mandai Avenue).","Mandai Park Connector starts at Lentor Ave and runs along Yishun Ave 1/Mandai Ave/ Mandai Road before ending at Junction of Mandai Lake Road","5.0 km","24 hours daily","7.00pm – 7.00am","Wheelchair friendly"
"5","Khatib Bongsu Park Connector","Starting from the junction of Yishun Ave 1 and Yishun Ave 2, Khatib Bongsu Park Connector runs along Yishun Ave 2 and goes past Khatib MRT station before turning right towards Yishun Park. It then makes another right to run along Sungei Khatib Bongsu. Teeming with biodiversity, this scenic stretch brings residents and visitors closer to nature. Visitors can also attempt the Canopy Walk, which is managed by SAFRA, at Yishun Park, where they can attempt aerial obstacles that are five metres above the ground.","Khatib Bongsu Park Connector starts at Yishun Ave 1/ Yishun Ave 2 and runs along Yishun Central and Yishun Ring Road before ending at Yishun Ave 6.","4.5 km","24 hours daily","7.00pm – 7.00am",""
"6","Yishun Park Connector","The Yishun Park Connector links the Khatib Bongsu Park Connector to the Canberra Park Connector, passing through the Simpang Kiri Park Connector and Canberra-Sembawang Park Connector, and running by Yishun Swimming Complex.","Yishun Park Connector starts at Yishun Central and runs along Yishun Ave 2 before ending at Canberra Link","","","",""
"7","Jurong Park Connector","Starting from Pan-Island Expressway (PIE), near the Jurong West Street 42 estates, the Jurong Park Connector stretches across the expressway to Ayer-Rajah Expressway (AYE) and Toh Guan Road. Visitors can opt to take the route leading to Jurong East Central, which links to Ulu Pandan Park Connector near Toh Guan Road, or head towards Yuan Ching Road to reach the AYE. 
Cycle, jog or take a leisurely stroll along the linear pathway and enjoy the beauty of the lush greenery and the breath-taking scenery of the surroundings. Take in the aroma of freshly baked biscuits from the Khong Guan Factory as you pass the row of factories between Jalan Boon Lay and Enterprise Road.","Jurong Park Connector starts from Pan-Island Expressway (PIE), near the Jurong West Street 42 estates. It stretches from PIE all the way to Ayer-Rajah Expressway (AYE) and Toh Guan Road.","9.4 km","24 hours daily","7.00pm – 7.00am",""
"8","Jurong West Park Connector","Extending from Boon Lay Way (across Jurong Central Park) to Jurong West Street 93, the Jurong West Park Connector links nearby residents to Jurong Central Park, Boon Lay Bus Terminal, Boon Lay MRT station and Pioneer MRT station. Running through residential estates, it is great for joggers looking for a short run around the neighbourhood and is ideal for other outdoor activities such as cycling, strolling and dog-walking.Alternatively, make your way to SAFRA Jurong, located at the end of the Jurong West Park Connector along Boon Lay Way. You may also head to the Jurong West Sports Centre where there are multiple sporting facilities you can use. After a fulfilling workout, head to Jurong Point where a variety of eateries, cafes, and shops are available. The Jurong West Park Connector forms part of the Western Adventure Loop, linking visitors to various park connectors, parks and nature reserves.","Jurong West PC starts from Boon Lay Way (across Jurong Central Park) and runs along Jurong West Street 62 and Jurong West Street 64, before ending at Jurong West street 93","2.2 km","24 hours daily","7.00pm – 7.00am",""
"9","Alexandra Park Connector","A continuation of Alexandra Canal Linear Park, the Alexandra Park Connector stretches from Tanglin Road to Zion Road. This urban Park Connector passes by various condominiums, giving users stunning views of the surrounding high-rise buildings and fantastic architectural details. Visitors using the Park Connector can stop by Valley Point Shopping Centre, which is located along Delta Road, to rest their feet and settle down with a nice drink or to just pick up a quick meal. 
Alternatively, drop by Great World City Shopping Centre and Zion Riverside Food Centre at the end of the Park Connector. Kim Seng Promenade is yet another option, located behind Great World City Shopping Centre.","Alexandra Park Connector starts at Tanglin Road and runs along Alexandra Canal before ending at Zion Road.","1.7 km","24 hours daily","7.00pm – 7.00am","Alexandra Park Connector (From Tanglin Road to Delta Road stretch) not accessible to inline-skaters"
"10","Ulu Pandan Park Connector","Starting from Commonwealth Ave West, Ulu Pandan Park Connector runs through the Ghim Moh estates, Dover MRT station and the Holland Grove estates. Crossing Clementi Road, it links back to cut across the Clementi and Sunset estates, before leading you towards Ayer-Rajah Expressway (AYE). Thereafter, continue to follow the Ulu Pandan Park Connector up north and it will eventually lead you to the Pan Island Expressway (PIE), completing the 7.1KM walk.Keep your eyes and ears peeled for the Red-Capped Woodpeckers, Kingfishers, as well as the White Egrets that might dart into the canal for a drink. Try to catch sight of the tall Grey Heron (Andrea cinerea) that wades slowly in the shallow waters of Sungei Ulu Pandan while using its bill to prey on fish. You might also catch sight of the magnificent Purple Neck Heron perching on the opposite bank of Sungei Ulu Pandan. Certain sections along the Park Connector are covered in lush greenery, providing a rustic charm. During the flowering season of Tabebuia rosea, visitors will be welcomed by the colourful sight of flowering trees such as Callerya atropurpurea and Saraca thaipingensis, which features yellow flower blooms on its tree trunk and branches.","Ulu Pandan Park Connector starts at Commonwealth Ave West and runs along the Sungei Ulu Pandan Canal before ending at Pan Island Expressway.","7.1 km","24 hours daily","7.00pm – 7.00am","Wheelchairs able to access from the Elevated PC at International Business Park, Wheelchair users are able to access from the Ghim Moh Link estate. By MRT Alight at Buona Vista Station Exit C or Dover Station"
