"","licence_numbers","business_name","name_of_license","premise_address","postcodes","lat","long"
"1","B02008E000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","845 YISHUN STREET 81 #01-184, S(760845)","760845",1.4160254,103.8349534
"2","B02011P000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","524A JELAPANG ROAD #03-13/18, GREENRIDGE SHOPPING CENTRE S(671524)","671524",1.38537108333333,103.76617882553
"3","B02012N000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","768 WOODLANDS AVENUE 6 #01-34, WOODLANDS MART S(730768)","730768",1.44572145,103.79801785
"4","B02015J000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","122 ANG MO KIO AVENUE 3 #01-1753,#01-1757,#01-1755, S(560122)","560122",1.3702891,103.8434139
"5","B02017C000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","301 WOODLANDS STREET 31 #01-217, S(730301)","730301",1.4315023,103.7737451
"6","B02020N000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","1 JELEBU ROAD #02-20,#01-15, BUKIT PANJANG PLAZA S(677743)","677743",1.37990744,103.764328138866
"7","B02021L000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","30 SEMBAWANG DRIVE #B1-01-03, SUN PLAZA S(757713)","757713",50.356627,15.4524885781263
"8","B02022K000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","71 WOODLANDS AVENUE 3 #01-01, MARSILING MRT STATION S(739044)","739044",1.43264,103.77429
"9","B02024E000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","888 WOODLANDS DRIVE 50 #01-757, 888 PLAZA S(730888)","730888",1.4377962,103.7952803
"10","B02025C000","fairprice","NTUC FAIRPRICE CO-OPERATIVE LTD","414 YISHUN RING ROAD #01-1853, S(760414)","760414",1.4249805,103.846478
"11","B02026B000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","445 FAJAR ROAD #01-536, S(670445)","670445",1.38362026666667,103.770698061757
