"","Type","Name","Address","Region","postcode","lat","long"
"1","Bus Interchange","AMK Bus Interchange","53 Ang Mo Kio Avenue 3, S(569933)","Central","569933",1.36943004166667,103.848352779891
"2","Bus Interchange","Kampong Bahru Bus Terminal","11A Spooner Road, S(168795)","Central","168795",19.20532,97.51799
"3","Bus Interchange","St. Michael's Bus Terminal","10 Whampoa Road, S(327691)","Central","327691",1.3259055,103.855713967267
"4","Club","Seletar Country Club","101 Seletar Club Road, S(798273)","Central","798273",1.40954215,103.855033595501
"5","Coffeeshop","CCMW","Blk 1 Cantonment Road, S(080001)","Central","080001",11.00372805,-74.8157601695565
"6","Convention & Exhibition Centre","Suntec Convention & Exhibition Centre","1 Raffles Boulevard Suntec City, S(039593)","Central","039593",1.2935198,103.857257158178
"7","Government Office","Health Sciences Authority","11 Outram Road, S(169078)","Central","169078",1.280364475,103.838481991709
"8","Government Office","Maritime and Port Authority of Singapore","460 Alexandra Road, #18-00, S(119963)","Central","119963",1.27384401818182,103.8014262164
"9","Government Office","Ministry of Social & Family Development (MSF)","512 Thomson Rd, Level 1, 5 & 17, S(298136)","Central","298136",1.333736075,103.83949745
"10","Government Office","PSA Vista","20 Harbour Drive, #08-00, S(117612)","Central","117612",44.7241126,25.1051749
"11","Government Office","The URA Centre","45 Maxwell Road, S(069118)","Central","069118",1.279619525,103.845178925484
"12","Hospital","Tan Tock Seng Hospital","11 Jalan Tan Tock Seng, S(308433)","Central","308433",1.32130108888889,103.846551471216
"13","Library","National Library","100 Victoria Street, S(188064)","Central","188064",21.3595466,94.8632367
"14","Market & Food Centre","210, Toa Payoh Lorong 8 Market & Hawker Centre","210 Lorong 8 Toa Payoh, S(310210)","Central","310210",46.19839702,21.337426649482
"15","Market & Food Centre","Albert Centre Market & Food Centre","Blk 270 Queen Street, S(180270)","Central","180270",1.3010327,103.854078223174
"16","Market & Food Centre","Amoy Food Centre","National Development Building (Annex B) Telok Ayer Street, S(069111)","Central","069111",1.27933944375,103.846639868132
"17","Market & Food Centre","Bendemeer Market & Food Centre","Blk 29 Bendemeer Road, S(330029)","Central","330029",28.6854544416667,115.929870444226
"18","Market & Food Centre","Berseh Food Centre","166 Jalan Besar, S(208877)","Central","208877",1.30742445,103.856847791496
"19","Market & Food Centre","Blk 1 Jalan Kukoh Hawker Centre","1 Jalan Kukoh, S(161001)","Central","161001",-45.7412492,-67.6703076
"20","Market & Food Centre","Blk 69 Geylang Bahru Market & Food Centre","Blk 69 Geyalng Bahru, S(330069)","Central","330069",45.8768551345423,22.8945643115678
"21","Market & Food Centre","Bukit Timah Market & Food Centre","51 Upper Bukit Timah Road, S(588215)","Central","588215",1.3393921,103.775951445028
"22","Market & Food Centre","Chinatown Market","335 Smith Street, S(050335)","Central","050335",44.3922228048595,26.0906824995979
"23","Market & Food Centre","Commonwealth Crescent Market","31 Commonwealth Crescent, S(149644)","Central","149644",1.306857475,103.80041565
"24","Market & Food Centre","Golden Mile Food Centre","505 Beach Road, S(199583)","Central","199583",18.16044,94.448036
"25","Market & Food Centre","Havelock Road Food Centre","Blk 22A, Havelock Road, S(161022)","Central","161022",1.28801455,103.829621738083
"26","Market & Food Centre","Hong Lim Market & Food Centre","Blk 531A Upper Cross Street, S(510531)","Central","510531",1.371347,103.950402670352
"27","Market & Food Centre","Maxwell Food Centre","1 Kadayanallur Street, S(069184)","Central","069184",1.28034649285714,103.844657980869
"28","Market & Food Centre","Newton Food Centre","500 Clemenceau Ave North, S(229495)","Central","229495",1.31205443333333,103.839595664898
